u11,u21,u12,u22,theta(2),alpha(2),beta(2)
6,5,3.5,6,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.694738,2.05544)"
6,5,3.5,5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.785398,1.95601)"
6,5,3.5,4.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.837981,1.9061)"
6,5,3.5,4,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.896055,1.85679)"
6,5,3.5,3.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.96007,1.80883)"
6,5,3.5,2.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.10715,1.72101)"
6,5,3.5,1.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.27934,1.65253)"
6,5,3.5,0.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.47113,1.61441)"
6,5,3,6,"(-2.2143,0)","(1.10715,1.90333)","(-0.694738,2.05544)"
6,5,3,4,"(-2.2143,0)","(1.10715,1.90333)","(-0.896055,1.85679)"
6,5,3,3.5,"(-2.2143,0)","(1.10715,1.90333)","(-0.96007,1.80883)"
6,5,3,3,"(-2.2143,0)","(1.10715,1.90333)","(-1.03038,1.76318)"
6,5,3,2.5,"(-2.2143,0)","(1.10715,1.90333)","(-1.10715,1.72101)"
6,5,3,2,"(-2.2143,0)","(1.10715,1.90333)","(-1.19029,1.68365)"
6,5,3,1.5,"(-2.2143,0)","(1.10715,1.90333)","(-1.27934,1.65253)"
6,5,3,0,"(-2.2143,0)","(1.10715,1.90333)","(-1.5708,1.60944)"
6,5,2.5,5.5,"(-2.35201,0)","(1.17601,1.8718)","(-0.737815,2.00593)"
6,5,2.5,5,"(-2.35201,0)","(1.17601,1.8718)","(-0.785398,1.95601)"
6,5,2.5,3.5,"(-2.35201,0)","(1.17601,1.8718)","(-0.96007,1.80883)"
6,5,2.5,2,"(-2.35201,0)","(1.17601,1.8718)","(-1.19029,1.68365)"
6,5,2.5,1.5,"(-2.35201,0)","(1.17601,1.8718)","(-1.27934,1.65253)"
6,5,2.5,1,"(-2.35201,0)","(1.17601,1.8718)","(-1.3734,1.62905)"
6,5,2.5,0.5,"(-2.35201,0)","(1.17601,1.8718)","(-1.47113,1.61441)"
6,5,2.5,0,"(-2.35201,0)","(1.17601,1.8718)","(-1.5708,1.60944)"
6,5,2,6,"(-2.49809,0)","(1.24905,1.84444)","(-0.694738,2.05544)"
6,5,2,5.5,"(-2.49809,0)","(1.24905,1.84444)","(-0.737815,2.00593)"
6,5,2,5,"(-2.49809,0)","(1.24905,1.84444)","(-0.785398,1.95601)"
6,5,2,4.5,"(-2.49809,0)","(1.24905,1.84444)","(-0.837981,1.9061)"
6,5,2,3.5,"(-2.49809,0)","(1.24905,1.84444)","(-0.96007,1.80883)"
6,5,2,3,"(-2.49809,0)","(1.24905,1.84444)","(-1.03038,1.76318)"
6,5,2,1.5,"(-2.49809,0)","(1.24905,1.84444)","(-1.27934,1.65253)"
